Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
2,1,2,5,2,2,1,1,1,2,1,9,10,2,29.0,4
5,1,2,6,4,2,1,1,1,2,1,7,9,3,33.0,4
2,1,2,5,2,2,1,2,1,2,1,4,8,2,30.0,2
5,1,2,5,5,2,2,2,3,1,1,9,5,2,22.0,4
3,1,2,2,1,2,1,2,1,1,2,6,12,2,22.0,3
2,1,2,3,2,2,1,2,1,2,1,4,3,3,44.0,2
3,1,2,4,4,2,1,2,1,2,1,4,4,3,42.0,2
5,1,1,2,1,2,1,1,1,1,1,2,4,3,43.0,1
3,1,2,4,1,2,1,3,1,2,1,8,4,2,19.0,4
2,1,2,4,2,2,1,2,2,1,1,7,4,2,21.0,4
3,1,1,5,4,2,1,2,1,1,1,8,6,4,53.0,3
1,1,2,3,1,2,1,1,1,1,1,2,10,4,57.0,1
2,1,1,5,2,2,1,2,1,2,1,9,8,3,47.0,3
2,1,1,4,2,2,1,1,1,2,1,2,8,3,45.0,1
2,1,2,3,2,2,2,1,3,4,2,3,8,1,3.0,2
1,1,2,2,1,1,1,1,1,1,4,9,5,1,12.0,2
1,1,2,3,1,2,1,2,1,2,1,2,11,3,41.0,1
2,1,1,6,2,2,1,3,1,2,1,9,4,4,53.0,3
2,1,1,6,2,2,1,1,1,1,1,2,10,4,54.0,1
3,1,2,3,1,2,1,1,1,2,1,7,4,3,43.0,4
2,1,1,2,1,2,1,1,1,2,2,5,5,4,52.0,3
2,1,1,7,2,2,1,2,1,2,2,5,3,3,46.0,3
2,1,1,6,2,2,1,2,1,1,1,3,9,3,36.0,2
5,1,2,5,4,2,1,1,1,2,1,6,11,2,25.0,4
2,1,1,6,2,2,1,2,1,2,1,3,8,1,7.0,2
3,1,1,4,4,2,1,2,1,2,1,5,5,3,31.0,3
3,1,1,3,1,2,1,1,1,1,1,2,6,4,56.0,1
1,1,1,5,4,2,1,2,1,2,1,1,2,3,43.0,1
3,1,1,5,2,2,1,3,1,1,1,3,6,3,36.0,2
1,1,2,2,1,1,1,1,1,2,4,7,4,1,12.0,2
2,1,2,4,2,2,2,2,1,2,1,4,8,3,41.0,2
4,1,1,3,1,2,1,2,1,2,2,9,4,2,20.0,4
1,1,2,3,1,2,1,4,1,2,1,1,5,3,45.0,2
3,1,1,4,1,2,1,2,1,1,2,9,8,4,50.0,3
2,1,2,2,1,2,1,1,1,2,1,6,11,3,33.0,2
2,1,1,2,1,1,2,1,3,2,4,4,8,3,40.0,2
3,1,2,5,4,2,1,3,1,6,1,9,5,1,1.0,4
1,1,1,3,1,2,1,3,1,1,1,4,7,3,33.0,2
