,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
364184,6,1,1,3,2,2,1,2,3,6,1,1,4,2,27.0,1
556888,6,1,1,2,1,2,1,1,1,2,1,8,2,4,54.0,4
472597,2,1,2,3,2,2,1,3,3,6,1,6,11,3,42.0,3
538631,2,1,1,5,2,2,1,2,1,9,2,8,3,4,49.0,4
325353,2,1,2,5,2,2,2,1,3,2,1,6,12,1,5.0,4
450028,1,1,1,3,1,2,1,2,1,2,1,9,8,3,34.0,4
327386,3,1,1,4,1,2,1,2,1,1,1,8,2,1,1.0,4
404161,2,1,1,7,2,2,1,2,1,2,2,5,3,3,43.0,3
543067,3,1,1,3,1,2,1,1,2,2,2,2,10,4,50.0,1
505289,3,1,1,5,4,2,1,1,1,1,1,8,6,3,40.0,4
385093,2,1,1,6,2,2,1,3,1,2,1,5,3,3,47.0,3
467205,3,1,2,2,1,2,1,2,1,9,1,4,9,3,36.0,2
354176,2,1,1,5,2,2,1,2,1,2,2,8,10,2,18.0,4
453686,2,1,2,4,2,2,1,3,1,2,2,1,3,3,36.0,1
485698,3,1,2,3,1,2,1,1,1,9,1,2,10,3,48.0,1
467469,2,1,1,2,1,2,1,1,1,2,1,5,4,3,31.0,3
494499,3,1,1,6,4,2,1,2,1,2,1,5,2,3,35.0,3
391829,5,1,1,2,1,2,1,1,1,1,1,2,4,3,43.0,1
366627,2,1,2,7,2,2,1,4,1,9,1,6,11,2,25.0,4
452642,3,1,2,3,1,2,1,1,1,6,1,1,5,3,31.0,2
375718,2,1,2,4,2,2,2,1,1,2,1,3,4,2,28.0,2
412021,2,1,2,6,2,2,1,3,1,2,1,4,9,3,34.0,2
564400,3,1,1,3,2,2,2,2,1,2,1,8,6,4,51.0,3
334022,2,1,2,4,2,2,1,3,1,2,1,5,11,2,29.0,3
483884,3,1,1,6,4,2,1,2,1,9,1,1,8,3,36.0,1
493665,5,1,1,6,4,2,1,2,1,1,1,9,6,3,43.0,4
487927,2,1,2,4,2,2,1,1,1,2,1,2,11,3,48.0,2
353021,2,1,2,2,1,1,1,1,1,1,4,4,3,2,28.0,2
464846,2,1,1,3,1,1,1,2,1,2,4,1,4,3,40.0,2
529376,2,1,1,4,2,2,1,1,1,1,1,9,2,3,48.0,4
396201,1,1,1,5,2,2,2,1,3,4,1,8,2,3,41.0,4
444848,2,1,2,4,2,2,1,1,1,2,2,1,4,3,45.0,2
447236,2,1,1,6,2,2,1,3,1,9,1,4,9,3,39.0,2
551440,2,1,1,5,2,2,1,2,1,2,1,8,2,4,52.0,4
460950,5,1,1,2,1,2,1,1,1,2,1,9,5,3,40.0,4
362634,2,1,1,3,1,2,1,2,1,2,1,9,6,2,17.0,4
362425,1,1,2,3,1,2,1,2,1,2,1,7,4,2,18.0,4
411202,2,1,2,2,1,2,1,1,1,2,1,6,12,3,41.0,3
468217,3,1,2,4,4,2,1,1,5,2,1,3,9,3,46.0,2
464284,2,1,2,5,2,2,1,1,1,2,1,6,10,3,45.0,3
325526,6,1,1,2,1,1,2,1,3,4,4,9,5,1,1.0,2
521327,2,1,2,3,1,2,1,1,4,2,1,9,9,3,46.0,3
481093,2,1,1,5,2,2,2,1,1,2,1,2,11,3,33.0,2
375477,2,1,2,4,2,2,2,2,3,6,1,6,11,2,17.0,3
333318,2,1,2,5,2,2,1,1,1,2,1,9,10,2,29.0,4
471774,5,1,2,6,4,2,1,1,1,2,1,7,9,3,33.0,4
366356,2,1,2,5,2,2,1,2,1,2,1,4,8,2,30.0,2
376382,5,1,2,5,5,2,2,2,3,1,1,9,5,2,22.0,4
331857,3,1,2,2,1,2,1,2,1,1,2,6,12,2,22.0,3
412290,2,1,2,3,2,2,1,2,1,2,1,4,3,3,44.0,2
451759,3,1,2,4,4,2,1,2,1,2,1,4,4,3,42.0,2
391829,5,1,1,2,1,2,1,1,1,1,1,2,4,3,43.0,1
366859,3,1,2,4,1,2,1,3,1,2,1,8,4,2,19.0,4
338721,2,1,2,4,2,2,1,2,2,1,1,7,4,2,21.0,4
542657,3,1,1,5,4,2,1,2,1,1,1,8,6,4,53.0,3
566908,1,1,2,3,1,2,1,1,1,1,1,2,10,4,57.0,1
485987,2,1,1,5,2,2,1,2,1,2,1,9,8,3,47.0,3
443971,2,1,1,4,2,2,1,1,1,2,1,2,8,3,45.0,1
325821,2,1,2,3,2,2,2,1,3,4,2,3,8,1,3.0,2
310818,1,1,2,2,1,1,1,1,1,1,4,9,5,1,12.0,2
496621,1,1,2,3,1,2,1,2,1,2,1,2,11,3,41.0,1
537404,2,1,1,6,2,2,1,3,1,2,1,9,4,4,53.0,3
559827,2,1,1,6,2,2,1,1,1,1,1,2,10,4,54.0,1
501185,3,1,2,3,1,2,1,1,1,2,1,7,4,3,43.0,4
568396,2,1,1,2,1,2,1,1,1,2,2,5,5,4,52.0,3
412330,2,1,1,7,2,2,1,2,1,2,2,5,3,3,46.0,3
528136,2,1,1,6,2,2,1,2,1,1,1,3,9,3,36.0,2
372230,5,1,2,5,4,2,1,1,1,2,1,6,11,2,25.0,4
321477,2,1,1,6,2,2,1,2,1,2,1,3,8,1,7.0,2
483358,3,1,1,4,4,2,1,2,1,2,1,5,5,3,31.0,3
555825,3,1,1,3,1,2,1,1,1,1,1,2,6,4,56.0,1
437543,1,1,1,5,4,2,1,2,1,2,1,1,2,3,43.0,1
517967,3,1,1,5,2,2,1,3,1,1,1,3,6,3,36.0,2
304707,1,1,2,2,1,1,1,1,1,2,4,7,4,1,12.0,2
406623,2,1,2,4,2,2,2,2,1,2,1,4,8,3,41.0,2
344365,4,1,1,3,1,2,1,2,1,2,2,9,4,2,20.0,4
527010,1,1,2,3,1,2,1,4,1,2,1,1,5,3,45.0,2
557861,3,1,1,4,1,2,1,2,1,1,2,9,8,4,50.0,3
481043,2,1,2,2,1,2,1,1,1,2,1,6,11,3,33.0,2
511732,2,1,1,2,1,1,2,1,3,2,4,4,8,3,40.0,2
318674,3,1,2,5,4,2,1,3,1,6,1,9,5,1,1.0,4
522329,1,1,1,3,1,2,1,3,1,1,1,4,7,3,33.0,2
455208,2,1,1,6,2,2,1,2,1,2,1,8,6,3,48.0,3
442557,1,1,2,3,1,2,1,2,1,9,1,1,4,3,35.0,2
311399,2,1,1,2,1,2,1,1,1,2,1,5,4,1,4.0,3
422084,2,1,1,6,2,2,1,2,1,2,2,1,3,3,45.0,2
489566,2,1,1,3,1,2,1,2,3,6,1,3,6,3,48.0,2
480667,2,1,1,5,2,2,1,2,1,2,1,1,9,3,45.0,1
328430,2,1,2,5,2,2,1,1,1,2,1,2,11,2,23.0,1
365314,2,1,2,2,1,1,1,1,3,6,4,2,10,2,16.0,2
350383,2,1,1,3,2,2,1,1,1,1,1,6,11,2,24.0,3
371996,1,1,1,3,1,2,1,2,1,9,2,5,4,2,21.0,3
442204,3,1,1,3,1,2,2,2,1,2,1,8,2,3,39.0,4
449656,2,1,2,5,2,2,1,1,1,1,2,6,8,3,40.0,3
352649,4,1,1,5,1,2,1,2,1,2,2,8,8,2,29.0,4
447665,2,1,1,6,2,2,1,1,1,1,1,1,9,3,33.0,2
415163,2,1,1,4,2,2,1,1,1,2,1,9,7,3,41.0,3
377804,2,1,2,5,2,2,1,2,1,2,1,2,10,2,17.0,1
359053,2,1,1,4,2,2,1,1,4,9,1,2,10,2,20.0,1
396899,2,1,1,3,1,2,1,1,1,1,1,8,2,3,41.0,4
475942,2,1,2,3,2,2,1,2,1,2,1,4,8,3,33.0,2
389996,2,1,1,6,2,2,1,2,1,2,1,1,4,3,32.0,2
493794,1,1,2,2,5,1,2,1,5,7,4,9,8,3,44.0,2
349784,2,1,2,4,2,2,2,1,4,9,1,6,11,2,21.0,3
330213,3,1,1,5,4,2,1,2,1,2,1,4,4,2,27.0,2
456720,2,1,2,4,2,2,1,2,1,1,1,2,10,3,39.0,1
457830,2,1,2,5,2,2,1,3,1,2,1,7,4,3,42.0,4
320080,2,1,2,6,2,2,1,2,1,2,1,1,8,1,9.0,2
475731,1,1,1,4,3,2,1,2,1,2,1,2,11,3,36.0,1
